
survived_the_end_times = {
	land_morale = 0.05
	religious_unity = 0.10
}

saved_the_world = {
	prestige = 2.0
	legitimacy = 2
	republican_tradition = 1.0
	devotion = 2
	horde_unity = 2
	meritocracy = 2
	governing_capacity_modifier = 0.2
	diplomatic_reputation = 4
	land_morale = 0.05
	religious_unity = 0.10
}

chaos_gate_defenses = {
	local_assault_fort_cost_modifier = 200
	local_garrison_damage = 1.0
	local_garrison_size = 1.0
	local_hostile_attrition = 1
	local_fort_maintenance_modifier = -1.0
	local_defensiveness = 0.5
	fort_level = 4
}

everchosen_buff_1 = {
	global_manpower = 100
	land_forcelimit = 100
	land_morale = 0.01
	discipline = 0.01
	movement_speed = 0.01
	garrison_damage = 0.1
	global_regiment_cost = -0.1
	all_estate_loyalty_equilibrium = 0.1
	inflation_reduction = 0.1
	yearly_corruption = -0.1
	global_unrest = -1
	global_autonomy = -0.1
	years_of_nationalism = -1
	envoy_travel_time = -0.1
	all_power_cost = -0.01
}

everchosen_buff_2 = {
	global_manpower = 200
	land_forcelimit = 200
	land_morale = 0.02
	discipline = 0.02
	movement_speed = 0.02
	garrison_damage = 0.2
	global_regiment_cost = -0.2
	all_estate_loyalty_equilibrium = 0.2
	inflation_reduction = 0.2
	yearly_corruption = -0.2
	global_unrest = -2
	global_autonomy = -0.2
	years_of_nationalism = -2
	envoy_travel_time = -0.2
	all_power_cost = -0.02
}

everchosen_buff_3 = {
	global_manpower = 300
	land_forcelimit = 300
	land_morale = 0.03
	discipline = 0.03
	movement_speed = 0.03
	garrison_damage = 0.3
	global_regiment_cost = -0.3
	all_estate_loyalty_equilibrium = 0.3
	inflation_reduction = 0.3
	yearly_corruption = -0.3
	global_unrest = -3
	global_autonomy = -0.3
	years_of_nationalism = -3
	envoy_travel_time = -0.3
	all_power_cost = -0.03
}

everchosen_buff_4 = {
	global_manpower = 400
	land_forcelimit = 400
	land_morale = 0.04
	discipline = 0.04
	movement_speed = 0.04
	garrison_damage = 0.4
	global_regiment_cost = -0.4
	all_estate_loyalty_equilibrium = 0.4
	inflation_reduction = 0.4
	yearly_corruption = -0.4
	global_unrest = -4
	global_autonomy = -0.4
	years_of_nationalism = -4
	envoy_travel_time = -0.4
	all_power_cost = -0.04
}

everchosen_buff_5 = {
	global_manpower = 500
	land_forcelimit = 500
	land_morale = 0.05
	discipline = 0.05
	movement_speed = 0.05
	garrison_damage = 0.5
	global_regiment_cost = -0.5
	all_estate_loyalty_equilibrium = 0.5
	inflation_reduction = 0.5
	yearly_corruption = -0.5
	global_unrest = -5
	global_autonomy = -0.5
	years_of_nationalism = -5
	envoy_travel_time = -0.5
	all_power_cost = -0.05
}

everchosen_buff_6 = {
	global_manpower = 600
	land_forcelimit = 600
	land_morale = 0.06
	discipline = 0.06
	movement_speed = 0.06
	garrison_damage = 0.6
	global_regiment_cost = -0.6
	all_estate_loyalty_equilibrium = 0.6
	inflation_reduction = 0.6
	yearly_corruption = -0.6
	global_unrest = -6
	global_autonomy = -0.6
	years_of_nationalism = -6
	envoy_travel_time = -0.6
	all_power_cost = -0.06
}

everchosen_buff_7 = {
	global_manpower = 700
	land_forcelimit = 700
	land_morale = 0.07
	discipline = 0.07
	movement_speed = 0.07
	garrison_damage = 0.7
	global_regiment_cost = -0.7
	all_estate_loyalty_equilibrium = 0.7
	inflation_reduction = 0.7
	yearly_corruption = -0.7
	global_unrest = -7
	global_autonomy = -0.7
	years_of_nationalism = -7
	envoy_travel_time = -0.7
	all_power_cost = -0.07
}

everchosen_buff_8 = {
	global_manpower = 800
	land_forcelimit = 800
	land_morale = 0.08
	discipline = 0.08
	movement_speed = 0.08
	garrison_damage = 0.8
	global_regiment_cost = -0.8
	all_estate_loyalty_equilibrium = 0.8
	inflation_reduction = 0.8
	yearly_corruption = -0.8
	global_unrest = -8
	global_autonomy = -0.8
	years_of_nationalism = -8
	envoy_travel_time = -0.8
	all_power_cost = -0.08
}

everchosen_buff_9 = {
	global_manpower = 900
	land_forcelimit = 900
	land_morale = 0.09
	discipline = 0.09
	movement_speed = 0.09
	garrison_damage = 0.9
	global_regiment_cost = -0.9
	all_estate_loyalty_equilibrium = 0.9
	inflation_reduction = 0.9
	yearly_corruption = -0.9
	global_unrest = -9
	global_autonomy = -0.9
	years_of_nationalism = -9
	envoy_travel_time = -0.9
	all_power_cost = -0.09
}

everchosen_buff_10 = {
	global_manpower = 1000
	land_forcelimit = 1000
	land_morale = 0.10
	discipline = 0.10
	movement_speed = 0.10
	garrison_damage = 1.0
	global_regiment_cost = -1.0
	all_estate_loyalty_equilibrium = 1.0
	inflation_reduction = 1.0
	yearly_corruption = -1.0
	global_unrest = -10
	global_autonomy = -1.0
	years_of_nationalism = -10
	envoy_travel_time = -1.0
	all_power_cost = -0.1
}

everchosen_buff_15 = {
	global_manpower = 1500
	land_forcelimit = 1500
	land_morale = 0.15
	discipline = 0.15
	movement_speed = 0.15
	garrison_damage = 1.5
	global_regiment_cost = -1.5
	all_estate_loyalty_equilibrium = 1.5
	inflation_reduction = 1.5
	yearly_corruption = -1.5
	global_unrest = -15
	global_autonomy = -1.5
	years_of_nationalism = -15
	envoy_travel_time = -1.5
	all_power_cost = -0.15

}

everchosen_buff_20 = {
	global_manpower = 2000
	land_forcelimit = 2000
	land_morale = 0.2
	discipline = 0.2
	movement_speed = 0.2
	garrison_damage = 2.0
	global_regiment_cost = -2.0
	all_estate_loyalty_equilibrium = 2.0
	inflation_reduction = 2.0
	yearly_corruption = -2.0
	global_unrest = -20
	global_autonomy = -2.0
	years_of_nationalism = -20
	envoy_travel_time = -2.0
	all_power_cost = -0.2
}
