From;To;Type;Through;start_x;start_y;stop_x;stop_y;Comment
79;84;sea;1629;-1;-1;-1;-1;marienburg
79;83;sea;1629;-1;-1;-1;-1;marienburg
484;285;sea;1276;-1;-1;-1;-1;lyonesse
1802;1800;sea;1275;-1;-1;-1;-1;isle of flame
1821;1828;sea;1269;-1;-1;-1;-1;averlorn
2370;2388;sea;1527;-1;-1;-1;-1;amazonisle
2370;2368;sea;1527;-1;-1;-1;-1;amazonisle
810;4197;sea;1343;-1;-1;-1;-1;darklands
451;1209;sea;1394;-1;-1;-1;-1;lothern
451;1212;sea;1394;-1;-1;-1;-1;lothern
1933;1950;sea;1321;-1;-1;-1;-1;isle of blight
1933;1978;sea;1320;-1;-1;-1;-1;isle of blight
1933;1934;sea;1277;-1;-1;-1;-1;isle of blight
1880;1878;sea;1277;-1;-1;-1;-1;nagarythe
1873;1874;sea;1279;-1;-1;-1;-1;nagarythe
2275;2266;sea;1337;-1;-1;-1;-1;darklands
1135;1136;;-1;-1;-1;-1;-1;underempire
1157;1177;;-1;-1;-1;-1;-1;underempire
4569;4568;;-1;-1;-1;-1;-1;underempire
4556;4552;;-1;-1;-1;-1;-1;underempire
4462;4452;;-1;-1;-1;-1;-1;underempire
4451;4447;;-1;-1;-1;-1;-1;underempire
4450;4232;;-1;-1;-1;-1;-1;underempire
4466;4473;;-1;-1;-1;-1;-1;underempire
4478;4500;;-1;-1;-1;-1;-1;underempire
4515;4518;;-1;-1;-1;-1;-1;underempire
4528;620;;-1;-1;-1;-1;-1;underempire
4526;620;;-1;-1;-1;-1;-1;underempire
4528;4526;;-1;-1;-1;-1;-1;underempire
4582;4584;;-1;-1;-1;-1;-1;underempire
4581;4279;;-1;-1;-1;-1;-1;underempire
4716;4739;;-1;-1;-1;-1;-1;underempire
4717;4575;;-1;-1;-1;-1;-1;Blisterdeep-undercity
4718;981;;-1;-1;-1;-1;-1;Araby-undercity
2442;4705;;-1;-1;-1;-1;-1;Quetza-undercity
4723;4836;;-1;-1;-1;-1;-1;Nippon-Undercity
4832;4626;;-1;-1;-1;-1;-1;Khuresh-Undercity
4639;2344;;-1;-1;-1;-1;-1;Skavenblight-Undercity
1171;4627;;-1;-1;-1;-1;-1;Hell Pit-Undercity
4628;4828;;-1;-1;-1;-1;-1;Chaos Wastes-Undercity
4623;624;;-1;-1;-1;-1;-1;Spineport-Undercity
4624;4915;;-1;-1;-1;-1;-1;Cragmere-Undercity
4640;4232;;-1;-1;-1;-1;-1;Crookback Mountian-Undercity
620;621;sea;1295;-1;-1;-1;-1;thousand Isles
621;622;sea;1295;-1;-1;-1;-1;thousand Isles
622;623;sea;1295;-1;-1;-1;-1;thousand Isles
623;624;sea;1295;-1;-1;-1;-1;thousand Isles
2208;2267;sea;1335;-1;-1;-1;-1;darklands
2145;2155;sea;1333;-1;-1;-1;-1;darklands
2206;2271;sea;1335;-1;-1;-1;-1;darklands
4385;4386;sea;1379;-1;-1;-1;-1;volcanic isles
2933;2931;sea;1506;-1;-1;-1;-1;cathay
2828;2847;sea;1707;-1;-1;-1;-1;cathay
2933;4243;sea;1506;-1;-1;-1;-1;cathay
3000;4243;sea;1506;-1;-1;-1;-1;cathay
2861;4251;sea;1418;-1;-1;-1;-1;cathay
4251;2892;sea;1418;-1;-1;-1;-1;cathay
2883;2941;sea;1382;-1;-1;-1;-1;cathay
2916;2941;sea;1505;-1;-1;-1;-1;cathay
2883;2916;sea;1505;-1;-1;-1;-1;cathay
2944;2921;sea;1505;-1;-1;-1;-1;cathay
2911;2512;sea;1383;-1;-1;-1;-1;cathay
2911;2863;sea;1383;-1;-1;-1;-1;cathay
2920;2990;sea;1469;-1;-1;-1;-1;cathay
2928;2997;sea;1469;-1;-1;-1;-1;cathay
2938;2872;sea;1382;-1;-1;-1;-1;grand canal
4158;4841;sea;1681;-1;-1;-1;-1;Lizard Sea
4846;4866;sea;1723;-1;-1;-1;-1;Lizard Sea
4855;4847;sea;1723;-1;-1;-1;-1;Lizard Sea
4264;4839;sea;1723;-1;-1;-1;-1;Lizard Sea
4856;4839;sea;1723;-1;-1;-1;-1;Lizard Sea
4263;4849;sea;1681;-1;-1;-1;-1;Lizard Sea
1284;1326;canal;804;-1;-1;-1;-1;uzkulak_canal
4445;4435;;-1;-1;-1;-1;-1;death's crossing
1111;1221;sea;1373;-1;-1;-1;-1;Nagash Crossing
2147;2126;sea;1333;-1;-1;-1;-1;scaled delta
2147;2154;sea;1333;-1;-1;-1;-1;scaled delta
2156;2154;sea;1333;-1;-1;-1;-1;scaled delta
1869;1867;sea;1294;-1;-1;-1;-1;Ulthuan
1930;1973;sea;1287;-1;-1;-1;-1;Ulthuan
1973;1953;sea;1317;-1;-1;-1;-1;Ulthuan
1813;1972;sea;1301;-1;-1;-1;-1;Ulthuan
1969;1972;sea;1287;-1;-1;-1;-1;Ulthuan
1972;1949;sea;1301;-1;-1;-1;-1;Ulthuan
1949;1974;sea;1301;-1;-1;-1;-1;Ulthuan
1949;1956;sea;1301;-1;-1;-1;-1;Ulthuan
1965;1956;sea;1290;-1;-1;-1;-1;Ulthuan
1880;1934;sea;1277;-1;-1;-1;-1;Ulthuan
1881;1933;sea;1299;-1;-1;-1;-1;Ulthuan
1850;1851;sea;1275;-1;-1;-1;-1;Ulthuan
1209;1212;sea;1394;-1;-1;-1;-1;Ulthuan
1822;1958;sea;1269;-1;-1;-1;-1;Ulthuan

2057;2056;sea;1372;-1;-1;-1;-1;Naggaroth
2536;2567;sea;1532;-1;-1;-1;-1;Naggaroth
2567;1801;sea;1532;-1;-1;-1;-1;Naggaroth
1804;1979;sea;1354;-1;-1;-1;-1;Naggaroth
1960;1961;sea;1353;-1;-1;-1;-1;Naggaroth
1306;2143;sea;1364;-1;-1;-1;-1;Naggaroth
2079;2143;sea;1364;-1;-1;-1;-1;Naggaroth
2143;2142;sea;1364;-1;-1;-1;-1;Naggaroth
2141;2142;sea;1365;-1;-1;-1;-1;Naggaroth
2082;2142;sea;1365;-1;-1;-1;-1;Naggaroth
2082;2141;sea;1365;-1;-1;-1;-1;Naggaroth
2087;2141;sea;1365;-1;-1;-1;-1;Naggaroth
2366;2367;sea;1375;-1;-1;-1;-1;Naggaroth
2371;2372;sea;1527;-1;-1;-1;-1;Naggaroth
2373;2372;sea;1527;-1;-1;-1;-1;Naggaroth
2393;2374;sea;1527;-1;-1;-1;-1;Naggaroth
4354;4355;sea;1380;-1;-1;-1;-1;Naggaroth
3196;4355;sea;1380;-1;-1;-1;-1;Naggaroth
1988;2524;sea;1385;-1;-1;-1;-1;Naggaroth
2056;4056;sea;1372;-1;-1;-1;-1;Naggaroth
629;642;sea;1370;-1;-1;-1;-1;Naggaroth
622;556;sea;1295;-1;-1;-1;-1;Naggaroth
504;759;sea;1292;-1;-1;-1;-1;Naggaroth
4116;4305;sea;1515;-1;-1;-1;-1;Naggaroth
1994;1996;sea;1512;-1;-1;-1;-1;Naggaroth
2744;2743;sea;1642;-1;-1;-1;-1;Naggaroth
2742;2743;sea;1642;-1;-1;-1;-1;Naggaroth
2741;2740;sea;1504;-1;-1;-1;-1;Naggaroth
2740;2007;sea;1504;-1;-1;-1;-1;Naggaroth
2747;4316;sea;1616;-1;-1;-1;-1;Naggaroth
3202;3201;sea;1537;-1;-1;-1;-1;Naggaroth

2125;2120;sea;1422;-1;-1;-1;-1;Naggaroth


1029;1049;sea;1457;-1;-1;-1;-1;Araby
1029;1030;sea;1457;-1;-1;-1;-1;Araby
1049;1030;sea;1473;-1;-1;-1;-1;Araby
1031;1030;sea;1473;-1;-1;-1;-1;Araby
1031;1049;sea;1473;-1;-1;-1;-1;Araby

419;476;sea;1284;-1;-1;-1;-1;Norsca
477;476;sea;1284;-1;-1;-1;-1;Norsca
628;607;sea;1323;-1;-1;-1;-1;Sartosa

3;2;sea;4333;-1;-1;-1;-1;altdorf
3;1;sea;4333;-1;-1;-1;-1;altdorf
2;1;sea;4333;-1;-1;-1;-1;altdorf
4;11;sea;1690;-1;-1;-1;-1;carroburg-eilhart
131;160;sea;4357;-1;-1;-1;-1;talagaad-hergig

8;88;sea;1690;-1;-1;-1;-1;empire
8;94;sea;1690;-1;-1;-1;-1;empire
86;88;sea;1690;-1;-1;-1;-1;empire
20;74;sea;1534;-1;-1;-1;-1;empire
110;158;sea;4357;-1;-1;-1;-1;empire

2480;2139;sea;1424;-1;-1;-1;-1;thebrokenlands


2596;2597;sea;1424;-1;-1;-1;-1;thebrokenlands
2596;2135;sea;1424;-1;-1;-1;-1;thebrokenlands
2134;2598;sea;1559;-1;-1;-1;-1;thebrokenlands
2597;2598;sea;1559;-1;-1;-1;-1;thebrokenlands
2599;2134;sea;1559;-1;-1;-1;-1;thebrokenlands
2599;2600;sea;1559;-1;-1;-1;-1;thebrokenlands
2599;2601;sea;1559;-1;-1;-1;-1;thebrokenlands
2602;2601;sea;1559;-1;-1;-1;-1;thebrokenlands
2602;2603;sea;1684;-1;-1;-1;-1;thebrokenlands
2602;2606;sea;1684;-1;-1;-1;-1;thebrokenlands
2604;2606;sea;1684;-1;-1;-1;-1;thebrokenlands
2606;2605;sea;1557;-1;-1;-1;-1;thebrokenlands
2606;2608;sea;1557;-1;-1;-1;-1;thebrokenlands
2607;2608;sea;1684;-1;-1;-1;-1;thebrokenlands
2611;2612;sea;1687;-1;-1;-1;-1;thebrokenlands
2609;2615;sea;1557;-1;-1;-1;-1;thebrokenlands
2616;2613;sea;1687;-1;-1;-1;-1;thebrokenlands
2617;2614;sea;1687;-1;-1;-1;-1;thebrokenlands
2614;2621;sea;1694;-1;-1;-1;-1;thebrokenlands
2617;2624;sea;1687;-1;-1;-1;-1;thebrokenlands
2623;2620;sea;1694;-1;-1;-1;-1;thebrokenlands
2619;2620;sea;1694;-1;-1;-1;-1;thebrokenlands
2619;2618;sea;1427;-1;-1;-1;-1;thebrokenlands
2310;2618;sea;1426;-1;-1;-1;-1;thebrokenlands
2626;2107;sea;1427;-1;-1;-1;-1;thebrokenlands
2608;2125;sea;1557;-1;-1;-1;-1;thebrokenlands

155;18;sea;1639;-1;-1;-1;-1;kemperbad
155;19;sea;1639;-1;-1;-1;-1;kemperbad
155;63;sea;1639;-1;-1;-1;-1;kemperbad
68;161;sea;1534;-1;-1;-1;-1;stirland


1039;4239;sea;1388;-1;-1;-1;-1;Lustria

2339;1039;sea;1388;-1;-1;-1;-1;Lustria
4241;1039;sea;1388;-1;-1;-1;-1;Lustria
1039;2822;sea;1388;-1;-1;-1;-1;Lustria
1039;4240;sea;1388;-1;-1;-1;-1;Lustria
1039;4236;sea;1388;-1;-1;-1;-1;Lustria
4240;4236;sea;1388;-1;-1;-1;-1;Lustria
4236;4242;sea;1388;-1;-1;-1;-1;Lustria
4242;4586;sea;1388;-1;-1;-1;-1;Lustria
4236;4238;sea;1388;-1;-1;-1;-1;Lustria

4586;4238;sea;1387;-1;-1;-1;-1;Lustria
1037;4238;sea;1387;-1;-1;-1;-1;Lustria

1038;4231;sea;1546;-1;-1;-1;-1;Lustria
1038;4064;sea;1546;-1;-1;-1;-1;Lustria
4231;4230;sea;1546;-1;-1;-1;-1;Lustria


4219;4064;sea;1386;-1;-1;-1;-1;Lustria
4219;2507;sea;1386;-1;-1;-1;-1;Lustria
4219;4152;sea;1386;-1;-1;-1;-1;Lustria
4152;4174;sea;1386;-1;-1;-1;-1;Lustria
4027;4175;sea;1386;-1;-1;-1;-1;Lustria
2511;4175;sea;1386;-1;-1;-1;-1;Lustria
4030;1044;sea;1386;-1;-1;-1;-1;Lustria
1044;2517;sea;1544;-1;-1;-1;-1;Lustria

1389;1542;canal;2320;-1;-1;-1;-1;lustria canal











-1;-1;-1;-1;-1;-1;-1;-1;-1
